id,item,conditions,read_time,image_error,slider_value,leftright_trial,list
62404d78ef30e,12,zrdf,[14402],False,99,1right,5
62404d78ef30e,1,erdf,[11201],False,4,1left,5
62404d78ef30e,30,fzrcf,[11267],False,99,1right,5
62404d78ef30e,19,zrcf,[9600],False,98,1right,5
62404d78ef30e,10,zrdc,[14340],False,3,1left,5
62404d78ef30e,28,fbrdc,[11248],False,2,1left,5
62404d78ef30e,13,erdc,[11301],False,98,1right,5
62404d78ef30e,8,zrdc,[11779],False,2,1left,5
62404d78ef30e,33,fzrdf,[9698],False,0,1left,5
62404d78ef30e,20,zrdf,[12119],False,97,1right,5
62404d78ef30e,7,brdf,[8213],False,1,1left,5
62404d78ef30e,30,fbrcf,[5680],False,99,1right,5
62404d78ef30e,32,fzrdc,[8569],False,2,1right,5
62404d78ef30e,12,brdf,[8110],False,97,1left,5
62404d78ef30e,35,fbrcf,[19538],False,-1,1right,5
62404d78ef30e,22,zrcf,[15435],False,0,1right,5
62404d78ef30e,18,brdf,[8925],False,3,1left,5
62404d78ef30e,26,brdf,[9180],False,1,1left,5
62404d78ef30e,33,fbrcf,[9731],False,98,1right,5
62404d78ef30e,29,fzrcf,[8423],False,98,1left,5
62404d78ef30e,16,brdc,[10583],False,2,1left,5
62404d78ef30e,34,fzrcf,[8291],False,99,1left,5
62404d78ef30e,32,fzrcf,[9190],False,98,1left,5
62404d78ef30e,28,fzrdc,[7748],False,2,1right,5
62404d78ef30e,33,ferdf,[25255],False,95,1right,5
62404d78ef30e,9,ercf,[11015],False,98,1right,5
62404d78ef30e,36,ferdf,[6012],False,1,1left,5
62404d78ef30e,34,fbrdf,[13308],False,-1,1right,5
62404d78ef30e,35,fbrdf,[9224],False,-1,1left,5
62404d78ef30e,10,brdc,[15068],False,2,1left,5
62404d78ef30e,1,zrdf,[7767],False,98,1right,5
62404d78ef30e,36,fercf,[5862],False,4,1left,5
62404d78ef30e,38,ferdc,[14848],False,1,1left,5
62404d78ef30e,2,zrdc,[11329],False,2,1right,5
62404d78ef30e,30,fzrdc,[4606],False,96,1left,5
62404d78ef30e,32,fzrdf,[5928],False,98,1left,5
62404d78ef30e,37,fercf,[4741],False,1,1left,5
62404d78ef30e,29,fbrdc,[7098],False,1,1left,5
62404d78ef30e,27,zrdc,[9263],False,3,1left,5
62404d78ef30e,30,ferdf,[9805],False,99,1right,5
62404d78ef30e,38,fercf,[3772],False,2,1left,5
62404d78ef30e,11,ercf,[10995],False,1,1left,5
62404d78ef30e,13,brdc,[10475],False,2,1left,5
62404d78ef30e,34,fercf,[6319],False,98,1right,5
62404d78ef30e,35,fbrdc,[10556],False,-1,1right,5
62404d78ef30e,6,zrcf,[5851],False,98,1right,5
62404d78ef30e,27,brdc,[7730],False,2,1left,5
62404d78ef30e,18,zrdf,[6756],False,2,1right,5
62404d78ef30e,4,erdf,[13953],False,-1,1right,5
62404d78ef30e,38,fbrdf,[14509],False,-1,1right,5
62404d78ef30e,36,fzrdc,[6441],False,99,1left,5
62404d78ef30e,37,ferdc,[6016],False,1,1left,5
62404d78ef30e,28,fzrdf,[9978],False,98,1left,5
62404d78ef30e,38,fzrcf,[8543],False,-1,1left,5
62404d78ef30e,21,brdc,[12748],False,1,1right,5
62404d78ef30e,34,fbrdc,[9081],False,-1,1right,5
62404d78ef30e,5,erdc,[7643],False,2,1left,5
62404d78ef30e,2,erdc,[6371],False,1,1left,5
62404d78ef30e,17,ercf,[11139],False,99,1right,5
62404d78ef30e,15,zrdf,[13605],False,1,1left,5
