left-right,id,missed_break_one,missed_break_two,missed_break_three,time_in_minutes,language,asses,age,gender,comments,fluent
L,62404d78ef30e,False,False,False,31.337883333333334,Deutsch,Yes,35,Male,,Yes
S,62408b8870553,False,False,False,25.526216666666667,deutsch,Yes,21,Female,,Yes
S,62408e90eaa0f,False,False,False,26.721616666666666,deutsch,Yes,30,Male,,Yes
L,624090b35114b,False,False,False,20.45565,deutsch,Yes,39,Male,,Yes
S,62409129c9bb7,False,False,False,17.696716666666667,Deutsch,Yes,28,Male,,Yes
S,6240928941ed7,False,False,False,26.679716666666668,Deutsch,Yes,37,Male,,No
S,624093750baff,False,False,False,28.30785,"deutsch, russisch",Yes,28,Male,"Spreche deutsch und englisch fließend, russisch nicht so gut.",Yes
S,624093f3c8419,False,False,False,30.097066666666667,deutsch,Yes,27,Male,,Yes
L,6241ee95e86a3,False,False,False,31.28675,Deutsch,Yes,31,Female,,Yes
L,6241eec9bf12f,False,False,False,32.65435,"deutsch, schwäbisch",Yes,46,Female,,Yes
S,6241f3f13c93c,False,False,False,27.55175,"Deutsch, Englisch",Yes,30,Male,,Yes
S,6241f580649f8,False,False,False,22.947583333333334,"Deutsche, English",Yes,47,Female,,Yes
S,6241fb2e43727,False,False,False,30.331833333333332,deutsch,Yes,29,Female,,Yes
L,6241fc4a4e8ee,True,False,False,43.15136666666667,Deutsch,Yes,44,Male,,No
S,6241fe6a604b4,False,False,False,21.5022,deutsch,Yes,28,Female,,Yes
S,6242014d42180,False,False,False,16.73143333333333,deutsch,Yes,52,Female,,Yes
S,6242086e74a2b,False,False,False,22.823483333333332,Deutsch,Yes,29,Female,,Yes
L,624209e50f64d,False,False,False,33.90351666666667,Deutsch,Yes,50,Female,,No
S,62420a2570e66,False,False,False,20.2022,deutsch,Yes,25,Female,,Yes
L,62420c944a01d,False,False,False,45.101733333333335,deutsch,Yes,41,Male,,Yes
L,62420e37579a8,False,False,False,22.984716666666667,Deutsch,Yes,31,Male,,Yes
S,624210319006a,False,False,False,17.89575,Deutsch,Yes,21,Male,/,Yes
L,624210489a38d,False,False,False,30.930616666666666,Deutsch,Yes,29,Male,,Yes
L,6242109e51f8b,False,False,False,19.592266666666667,deutsch,Confused,55,Female,"Ich habe geantwortet, was ich sagen würde, obwohl eine andere Antwort auch richtig gewesen wäre, ich hoffe, das war so richtig. Ich war auch nicht sicher, ob ich 'keine passt' hätte antworten sollen, wo eigentlich beide passen, aber nicht genug Information geben. Ich hab das einmal gemacht, aber dann gedacht die Beschreibung ist ja eigentlich nicht unpassend, halt nur nicht genug. Entschuldigung, wenn ich das jetzt falsch gemacht habe.",Yes
L,624210c3007c6,False,False,False,31.016333333333332,Deutsch,Yes,35,Male,,Yes
L,6242140018a74,False,False,False,19.1808,Deutsch,Yes,21,Male,,Yes
L,6242147d7a8a0,False,False,True,18.408966666666668,Deutsch,Yes,24,Female,,Yes
L,6242173eeab01,False,False,False,39.4845,Deutsch,Yes,22,Female,,Yes
L,6242197550443,False,False,False,48.855783333333335,Deutsch,Yes,30,Male,,Yes
S,6242b2ec69034,False,False,False,18.604133333333333,deutsch,Yes,39,Male,"bei 2 richtigen Antworten war ich eher versucht, die linke Antwort zu bevorzugen",Yes
L,6242b3a9cf7c0,False,False,False,8.634383333333334,Deutsch,Yes,31,Male,,Yes
L,6242b6ee87ee1,False,False,False,23.789683333333333,deutsch,Yes,22,Female,Nein,No
L,6242bd7514401,False,False,False,54.55928333333333, Deutsch,Yes,30,Male,,Yes
S,6242bf5d669ad,False,False,False,20.321,deutsch,Yes,21,Male,,Yes
L,6242c24deca73,False,False,False,21.939316666666667,Deutsch,Yes,20,Female,,No
L,6242c58b0c135,False,False,False,21.242366666666666,Deutsch,Yes,26,Female,,Yes
L,6242c6ebdcebd,False,False,False,17.042433333333335,Deutsch Libanesisch,Yes,37,Male,,Yes
S,6242c73bc7378,False,False,False,21.23635,Deutsch,Yes,28,Male,,Yes
S,6242c7d0be1a4,False,False,False,17.002366666666667,Deutsch,Yes,30,Male,,Yes
L,6242c8c170b8d,False,False,False,20.049383333333335,deutsch,Yes,19,Male,nein danke,Yes
S,6242c8dbd34b9,False,False,False,21.5993,deutsch,Yes,,Female,,Yes
S,6242c9a5256b1,False,False,False,20.9011,Deutsch,Yes,31,Male,,Yes
S,6242cafc1a1cb,False,False,False,27.0039,deutsch,Yes,24,Female,,Yes
L,6242cb3f2a1e0,False,False,False,27.613383333333335,Deutsch,Yes,19,Male,,Yes
S,6242cbfc334ce,False,False,False,23.048966666666665,Deutsch,Yes,42,Male,,Yes
L,6242cc346032c,False,False,False,44.38621666666667,Deutsch,Yes,20,Female,,Yes
L,6242ccc920c88,False,False,False,22.38175,Deutsch,Yes,22,Female,,Yes
S,6242cea6b79ac,False,False,False,20.96215,Deutsch,Yes,46,Male,Viel Erfolg!,Yes
L,6242cec3de8c1,False,False,False,18.03605,Deutsch,Yes,24,Female,,No
S,6242cf8268e0f,False,False,False,24.33813333333333,Deutsch,Yes,24,Female,,Yes
S,6242cfd28783f,False,False,False,24.953683333333334,deutsch,Yes,47,Male,,No
L,6242d016c0e11,False,False,False,34.36475,deutsch,Yes,23,Male,,Yes
L,6242d064bb7ea,False,False,False,26.96765,Deutsch,Yes,32,Male,,Yes
L,6242d0a7b3fe7,False,False,False,27.662516666666665,Deutsch,Yes,28,Female,,Yes
L,6242d0c0e2653,False,False,False,20.839216666666665,Deutsch,Yes,29,Female,,Yes
S,6242d0cc141b3,False,False,False,30.30205,deutsch,Yes,58,Female,,No
L,6242d12b98919,False,False,False,27.900783333333333,deutsch,Yes,35,Female,,Yes
L,6242d15bd9731,False,False,False,23.031383333333334,Deutsch,Yes,41,Male,,Yes
L,6242d16cccd17,True,False,False,20.88545,"Deutsch, Russisch",Yes,27,Female,,Yes
L,6242d18ed772f,False,True,False,23.476883333333333,deutsch,Yes,47,Female,,No
S,6242d19d2d986,False,False,False,20.8331,deutsch,Yes,25,Female,,Yes
L,6242d1a04ac59,False,False,False,31.7275,deutsch,Yes,34,Male,,Yes
L,6242d1a5bc481,False,False,False,23.15973333333333,deutsch,Yes,37,Other,,Yes
L,6242d1acab1f7,False,False,False,31.464366666666667,Deutsch,Yes,25,Male,,Yes
L,6242d1bb48e2e,False,False,False,26.957416666666667,Deutsch,Yes,38,Male,,Yes
S,6242d24a88e32,False,False,False,31.609516666666668,deutsch,Yes,33,Male,,No
S,6242d2a1afd92,False,False,False,27.2499,Deutsch,Yes,25,Female,,Yes
S,6242d2d2857b9,False,False,False,29.08325,deutsch,Yes,35,Male,,Yes
S,6242d2eb4b4f4,False,False,True,38.239016666666664,deutsch,Yes,44,Male,,Yes
S,6242d394f1bcf,True,False,False,35.6283,deutsch,Yes,39,Male,hat in Chrome erst nciht funktioniert,Yes
S,6242d3a98daea,False,False,False,41.16663333333333,deutsch,Yes,36,Female,,Yes
S,6242d452e418c,False,False,False,23.968066666666665,Deutsch,Yes,29,Male,,Yes
S,6242d4f559668,False,False,False,35.27106666666667,Deutsch,Yes,29,Male,,Yes
L,6242d6164d9ec,False,False,False,38.0158,Deutsch,Yes,27,Male,,Yes
S,6242d6d0a74f6,False,False,False,42.22765,Deutsch,Yes,27,Male,,Yes
L,6242d7b615bf4,True,False,False,24.681783333333332,Deutsch,Yes,34,Male,,Yes
L,6242d82c12542,False,False,False,14.930366666666666,Deutsch,Yes,24,Female,,Yes
S,6242e17269d84,False,False,False,25.796766666666667,deutsch,Yes,42,Female,,No
S,6242e450b3b5c,False,False,False,41.4808,deutsch,Yes,25,Male,,Yes
