id,conditions,item,slider_value,read_time,image_error
60f57c2770615,dap,7,91,[11130],False
60f57c2770615,dap,3,85,[8300],False
60f57c2770615,farbe_unscharf,76,85,[6088],False
60f57c2770615,grosse_unscharf,101,15,[5203],False
60f57c2770615,grosse_unscharf,130,50,[13024],False
60f57c2770615,grosse_unscharf,114,86,[8545],False
60f57c2770615,farbe_scharf,143,16,[3591],False
60f57c2770615,dap,11,77,[2247],False
60f57c2770615,dap,15,41,[2389],False
60f57c2770615,dap,21,18,[5538],False
60f57c2770615,farbe_scharf,156,45,[9992],False
60f57c2770615,dap,17,68,[3665],False
60f57c2770615,farbe_scharf,165,32,[9236],False
60f57c2770615,dap,8,18,[5443],False
60f57c2770615,grosse_unscharf,124,25,[5052],False
60f57c2770615,grosse_scharf,44,18,[4758],False
60f57c2770615,farbe_scharf,162,49,[7180],False
60f57c2770615,farbe_scharf,149,50,[5979],False
60f57c2770615,dap,13,38,[6373],False
60f57c2770615,dap,4,73,[10149],False
60f57c2770615,grosse_unscharf,111,37,[7210],False
60f57c2770615,grosse_scharf,28,8,[5318],False
60f57c2770615,dap,20,65,[10404],False
60f57c2770615,farbe_unscharf,66,50,[7420],False
60f57c2770615,dap,19,55,[4315],False
60f57c2770615,grosse_unscharf,127,37,[1657],False
60f57c2770615,dap,9,67,[1276],False
60f57c2770615,dap,12,73,[1054],False
60f57c2770615,grosse_scharf,60,25,[854],False
60f57c2770615,dap,2,85,[1019],False
60f57c2770615,grosse_unscharf,108,28,[1305],False
60f57c2770615,dap,16,61,[774],False
60f57c2770615,grosse_scharf,31,26,[1708],False
60f57c2770615,dap,22,79,[2976],False
60f57c2770615,farbe_unscharf,63,50,[1644],False
60f57c2770615,dap,6,32,[861],False
60f57c2770615,dap,10,76,[736],False
60f57c2770615,dap,23,50,[3835],False
60f57c2770615,grosse_scharf,34,50,[807],False
60f57c2770615,dap,24,72,[810],False
60f57c2770615,grosse_scharf,53,36,[872],False
60f57c2770615,grosse_scharf,50,61,[801],False
60f57c2770615,grosse_unscharf,117,50,[893],False
60f57c2770615,farbe_unscharf,82,91,[777],False
60f57c2770615,farbe_scharf,133,11,[1081],False
60f57c2770615,farbe_scharf,159,50,[1257],False
60f57c2770615,dap,18,65,[827],False
60f57c2770615,dap,1,30,[836],False
60f57c2770615,dap,5,44,[1382],False
60f57c2770615,grosse_scharf,47,73,[661],False
60f57c2770615,farbe_scharf,140,28,[737],False
60f57c2770615,farbe_unscharf,85,63,[879],False
60f57c2770615,farbe_unscharf,95,50,[841],False
60f57c2770615,grosse_scharf,37,25,[1212],False
60f57c2770615,farbe_unscharf,92,49,[847],False
60f57c2770615,farbe_scharf,146,50,[913],False
60f57c2770615,farbe_unscharf,69,74,[717],False
