id,item,conditions,read_time,image_error,slider_value
61252f5647f57,18,dap,[8086],False,100
61252f5647f57,144,farbe_scharf,[13236],False,0
61252f5647f57,20,dap,[6336],False,100
61252f5647f57,67,farbe_unscharf,[8916],False,0
61252f5647f57,6,dap,[6281],False,100
61252f5647f57,89,farbe_unscharf,[6921],False,0
61252f5647f57,10,dap,[3796],False,100
61252f5647f57,54,grosse_scharf,[5128],False,0
61252f5647f57,14,dap,[4868],False,100
61252f5647f57,83,farbe_unscharf,[5280],False,0
61252f5647f57,96,farbe_unscharf,[3603],False,0
61252f5647f57,19,dap,[6283],False,100
61252f5647f57,80,farbe_unscharf,[3794],False,0
61252f5647f57,112,grosse_unscharf,[22356],False,0
61252f5647f57,51,grosse_scharf,[4219],False,0
61252f5647f57,8,dap,[4749],False,100
61252f5647f57,13,dap,[4271],False,100
61252f5647f57,38,grosse_scharf,[3292],False,0
61252f5647f57,166,farbe_scharf,[3561],False,0
61252f5647f57,2,dap,[5650],False,100
61252f5647f57,115,grosse_unscharf,[4480],False,0
61252f5647f57,153,farbe_scharf,[6743],False,0
61252f5647f57,102,grosse_unscharf,[4583],False,0
61252f5647f57,4,dap,[6875],False,100
61252f5647f57,147,farbe_scharf,[3527],False,0
61252f5647f57,12,dap,[6521],False,3
61252f5647f57,11,dap,[6097],False,100
61252f5647f57,73,farbe_unscharf,[4175],False,0
61252f5647f57,121,grosse_unscharf,[3673],False,0
61252f5647f57,48,grosse_scharf,[3319],False,0
61252f5647f57,21,dap,[5126],False,0
61252f5647f57,86,farbe_unscharf,[4974],False,0
61252f5647f57,64,farbe_unscharf,[4053],False,0
61252f5647f57,1,dap,[5834],False,0
61252f5647f57,160,farbe_scharf,[5731],False,0
61252f5647f57,23,dap,[3999],False,0
61252f5647f57,24,dap,[3682],False,100
61252f5647f57,70,farbe_unscharf,[4649],False,0
61252f5647f57,35,grosse_scharf,[7239],False,0
61252f5647f57,128,grosse_unscharf,[4439],False,0
61252f5647f57,163,farbe_scharf,[4144],False,0
61252f5647f57,15,dap,[2906],False,0
61252f5647f57,22,dap,[3177],False,0
61252f5647f57,7,dap,[3757],False,0
61252f5647f57,105,grosse_unscharf,[7538],False,0
61252f5647f57,134,farbe_scharf,[4439],False,0
61252f5647f57,118,grosse_unscharf,[3795],False,0
61252f5647f57,131,grosse_unscharf,[2693],False,0
61252f5647f57,9,dap,[2949],False,0
61252f5647f57,16,dap,[3711],False,100
61252f5647f57,150,farbe_scharf,[3224],False,0
61252f5647f57,57,grosse_scharf,[3187],False,0
61252f5647f57,32,grosse_scharf,[3890],False,0
61252f5647f57,25,grosse_scharf,[4069],False,0
61252f5647f57,99,grosse_unscharf,[3989],False,0
61252f5647f57,137,farbe_scharf,[7786],False,0
61252f5647f57,41,grosse_scharf,[3534],False,0
61252f5647f57,17,dap,[7995],False,100
61252f5647f57,5,dap,[5787],False,0
61252f5647f57,3,dap,[5463],False,100
61252fce0f17b,51,grosse_scharf,[5835],False,0
61252fce0f17b,57,grosse_scharf,[4642],False,0
61252fce0f17b,41,grosse_scharf,[5012],False,100
61252fce0f17b,89,farbe_unscharf,[4749],False,0
61252fce0f17b,67,farbe_unscharf,[4465],False,0
61252fce0f17b,4,dap,[3947],False,100
61252fce0f17b,24,dap,[3021],False,100
61252fce0f17b,6,dap,[3775],False,0
61252fce0f17b,115,grosse_unscharf,[3621],False,0
61252fce0f17b,23,dap,[2694],False,0
61252fce0f17b,25,grosse_scharf,[8868],False,78
61252fce0f17b,1,dap,[3212],False,75
61252fce0f17b,2,dap,[4477],False,-1
61252fce0f17b,128,grosse_unscharf,[4328],False,100
61252fce0f17b,105,grosse_unscharf,[3293],False,0
61252fce0f17b,13,dap,[3773],False,0
61252fce0f17b,32,grosse_scharf,[2446],False,0
61252fce0f17b,8,dap,[2206],False,100
61252fce0f17b,70,farbe_unscharf,[3069],False,0
61252fce0f17b,83,farbe_unscharf,[2456],False,100
61252fce0f17b,147,farbe_scharf,[2651],False,0
61252fce0f17b,134,farbe_scharf,[3307],False,-1
61252fce0f17b,11,dap,[3596],False,-1
61252fce0f17b,48,grosse_scharf,[3007],False,0
61252fce0f17b,12,dap,[4017],False,0
61252fce0f17b,144,farbe_scharf,[6744],False,100
61252fce0f17b,19,dap,[3886],False,100
61252fce0f17b,150,farbe_scharf,[5096],False,0
61252fce0f17b,54,grosse_scharf,[3795],False,0
61252fce0f17b,3,dap,[3050],False,-1
61252fce0f17b,16,dap,[2116],False,100
61252fce0f17b,80,farbe_unscharf,[2111],False,100
61252fce0f17b,35,grosse_scharf,[2468],False,100
61252fce0f17b,15,dap,[1798],False,0
61252fce0f17b,21,dap,[1987],False,0
61252fce0f17b,118,grosse_unscharf,[2584],False,0
61252fce0f17b,5,dap,[2855],False,0
61252fce0f17b,86,farbe_unscharf,[3013],False,0
61252fce0f17b,14,dap,[1974],False,0
61252fce0f17b,17,dap,[4108],False,-1
61252fce0f17b,10,dap,[2092],False,0
61252fce0f17b,137,farbe_scharf,[2448],False,0
61252fce0f17b,73,farbe_unscharf,[2565],False,0
61252fce0f17b,163,farbe_scharf,[1821],False,0
61252fce0f17b,160,farbe_scharf,[2897],False,0
61252fce0f17b,18,dap,[2203],False,0
61252fce0f17b,22,dap,[1579],False,0
61252fce0f17b,20,dap,[1940],False,100
61252fce0f17b,131,grosse_unscharf,[3630],False,0
61252fce0f17b,166,farbe_scharf,[4350],False,0
61252fce0f17b,7,dap,[1987],False,0
61252fce0f17b,38,grosse_scharf,[2434],False,0
61252fce0f17b,102,grosse_unscharf,[3059],False,0
61252fce0f17b,121,grosse_unscharf,[2485],False,0
61252fce0f17b,99,grosse_unscharf,[5343],False,0
61252fce0f17b,64,farbe_unscharf,[3711],False,0
61252fce0f17b,153,farbe_scharf,[2813],False,0
61252fce0f17b,112,grosse_unscharf,[2207],False,0
61252fce0f17b,96,farbe_unscharf,[2760],False,0
61252fce0f17b,9,dap,[1879],False,0
612530ef4d171,86,farbe_unscharf,[12505],False,100
612530ef4d171,118,grosse_unscharf,[5678],False,100
612530ef4d171,38,grosse_scharf,[19260],False,82
612530ef4d171,22,dap,[11622],False,81
612530ef4d171,4,dap,[9408],False,18
612530ef4d171,80,farbe_unscharf,[6511],False,100
612530ef4d171,9,dap,[6550],False,100
612530ef4d171,54,grosse_scharf,[5823],False,100
612530ef4d171,24,dap,[5567],False,25
612530ef4d171,121,grosse_unscharf,[9273],False,100
612530ef4d171,14,dap,[7600],False,100
612530ef4d171,57,grosse_scharf,[6533],False,100
612530ef4d171,7,dap,[15788],False,45
612530ef4d171,73,farbe_unscharf,[7334],False,100
612530ef4d171,89,farbe_unscharf,[5352],False,100
612530ef4d171,112,grosse_unscharf,[4631],False,100
612530ef4d171,83,farbe_unscharf,[5418],False,100
612530ef4d171,105,grosse_unscharf,[10469],False,100
612530ef4d171,17,dap,[9001],False,0
612530ef4d171,11,dap,[7895],False,0
612530ef4d171,144,farbe_scharf,[10115],False,100
612530ef4d171,153,farbe_scharf,[7642],False,100
612530ef4d171,19,dap,[7373],False,0
612530ef4d171,137,farbe_scharf,[4590],False,100
612530ef4d171,70,farbe_unscharf,[4894],False,100
612530ef4d171,163,farbe_scharf,[3985],False,100
612530ef4d171,5,dap,[7904],False,100
612530ef4d171,18,dap,[26474],False,38
612530ef4d171,1,dap,[3628],False,100
612530ef4d171,32,grosse_scharf,[7743],False,100
612530ef4d171,67,farbe_unscharf,[3619],False,100
612530ef4d171,51,grosse_scharf,[6669],False,100
612530ef4d171,16,dap,[7715],False,22
612530ef4d171,64,farbe_unscharf,[3470],False,100
612530ef4d171,166,farbe_scharf,[6944],False,100
612530ef4d171,128,grosse_unscharf,[7337],False,100
612530ef4d171,21,dap,[7372],False,100
612530ef4d171,134,farbe_scharf,[8063],False,100
612530ef4d171,150,farbe_scharf,[8904],False,100
612530ef4d171,8,dap,[9769],False,31
612530ef4d171,25,grosse_scharf,[5637],False,100
612530ef4d171,10,dap,[3389],False,100
612530ef4d171,41,grosse_scharf,[8096],False,100
612530ef4d171,3,dap,[6715],False,0
612530ef4d171,96,farbe_unscharf,[3725],False,100
612530ef4d171,115,grosse_unscharf,[3688],False,100
612530ef4d171,35,grosse_scharf,[4908],False,100
612530ef4d171,6,dap,[20288],False,59
612530ef4d171,131,grosse_unscharf,[6383],False,100
612530ef4d171,147,farbe_scharf,[4591],False,100
612530ef4d171,13,dap,[9455],False,100
612530ef4d171,12,dap,[5170],False,100
612530ef4d171,99,grosse_unscharf,[7481],False,100
612530ef4d171,2,dap,[11616],False,0
612530ef4d171,20,dap,[11735],False,27
612530ef4d171,102,grosse_unscharf,[4527],False,100
612530ef4d171,48,grosse_scharf,[6390],False,100
612530ef4d171,15,dap,[4563],False,74
612530ef4d171,23,dap,[5424],False,73
612530ef4d171,160,farbe_scharf,[4031],False,100
6125333e4a6fd,134,farbe_scharf,"[2117, 9821]",False,21
6125333e4a6fd,89,farbe_unscharf,[5386],False,100
6125333e4a6fd,96,farbe_unscharf,[7709],False,100
6125333e4a6fd,12,dap,[7979],False,0
6125333e4a6fd,112,grosse_unscharf,[3602],False,0
6125333e4a6fd,22,dap,[9668],False,100
6125333e4a6fd,137,farbe_scharf,[7499],False,0
6125333e4a6fd,24,dap,[4209],False,100
6125333e4a6fd,121,grosse_unscharf,[3314],False,100
6125333e4a6fd,118,grosse_unscharf,[7500],False,0
6125333e4a6fd,20,dap,[7244],False,100
6125333e4a6fd,64,farbe_unscharf,[6548],False,0
6125333e4a6fd,8,dap,[4899],False,100
6125333e4a6fd,48,grosse_scharf,[5372],False,100
6125333e4a6fd,6,dap,[5610],False,0
6125333e4a6fd,163,farbe_scharf,[9484],False,0
6125333e4a6fd,17,dap,[6229],False,100
6125333e4a6fd,38,grosse_scharf,[3947],False,0
6125333e4a6fd,131,grosse_unscharf,[6542],False,0
6125333e4a6fd,35,grosse_scharf,[5956],False,0
6125333e4a6fd,150,farbe_scharf,[3007],False,0
6125333e4a6fd,13,dap,[5113],False,0
