id,item,image_error,read_time,slider_value,conditions
60f15001ed06d,14,False,[9589],18,dap
60f15001ed06d,19,False,[16417],79,dap
60f15001ed06d,74,False,[6667],0,farbe_unscharf
60f15001ed06d,93,False,[6410],0,farbe_unscharf
60f15001ed06d,36,False,[7354],0,grosse_scharf
60f15001ed06d,23,False,[5812],100,dap
60f15001ed06d,42,False,[7137],100,grosse_scharf
60f15001ed06d,24,False,[8116],0,dap
60f15001ed06d,6,False,[17546],100,dap
60f15001ed06d,22,False,[4698],0,dap
60f15001ed06d,21,False,[4685],0,dap
60f15001ed06d,4,False,[4251],0,dap
60f15001ed06d,12,False,[5269],0,dap
60f15001ed06d,7,False,[6143],0,dap
60f15001ed06d,167,False,[5233],0,farbe_scharf
60f15001ed06d,90,False,[7312],100,farbe_unscharf
60f15001ed06d,55,False,[6870],100,grosse_scharf
60f15001ed06d,3,False,[7039],100,dap
60f15001ed06d,17,False,[9570],100,dap
60f15001ed06d,106,False,[11945],0,grosse_unscharf
60f15001ed06d,9,False,[12994],52,dap
60f15001ed06d,15,False,[4622],0,dap
60f15001ed06d,141,False,[6101],0,farbe_scharf
60f15001ed06d,45,False,[5573],100,grosse_scharf
60f15001ed06d,8,False,[4877],100,dap
60f15001ed06d,125,False,[4164],100,grosse_unscharf
60f15001ed06d,154,False,[3383],0,farbe_scharf
60f15001ed06d,71,False,[4589],0,farbe_unscharf
60f15001ed06d,61,False,[4196],100,farbe_unscharf
60f15001ed06d,1,False,[6504],100,dap
60f15001ed06d,164,False,[4102],0,farbe_scharf
60f15001ed06d,138,False,[4442],0,farbe_scharf
60f15001ed06d,122,False,[7532],100,grosse_unscharf
60f15001ed06d,119,False,[3290],100,grosse_unscharf
60f15001ed06d,20,False,[6982],100,dap
60f15001ed06d,39,False,[4591],3,grosse_scharf
60f15001ed06d,10,False,[3456],0,dap
60f15001ed06d,77,False,[3035],0,farbe_unscharf
60f15001ed06d,84,False,[4960],100,farbe_unscharf
60f15001ed06d,11,False,[3862],100,dap
60f15001ed06d,5,False,[3030],100,dap
60f15001ed06d,151,False,[3812],100,farbe_scharf
60f15001ed06d,16,False,[3314],0,dap
60f15001ed06d,116,False,[3972],0,grosse_unscharf
60f15001ed06d,135,False,[4459],0,farbe_scharf
60f15001ed06d,29,False,[3244],100,grosse_scharf
60f15001ed06d,87,False,[4439],0,farbe_unscharf
60f15001ed06d,52,False,[6066],100,grosse_scharf
60f15001ed06d,109,False,[5313],0,grosse_unscharf
60f15001ed06d,18,False,[5896],0,dap
60f15001ed06d,2,False,[4606],100,dap
60f15001ed06d,157,False,[6014],0,farbe_scharf
60f15001ed06d,103,False,[8378],-1,grosse_unscharf
60f15001ed06d,132,False,[6615],0,grosse_unscharf
60f15001ed06d,13,False,[4668],0,dap
60f15001ed06d,26,False,[4957],100,grosse_scharf
60f15001ed06d,148,False,[6102],0,farbe_scharf
60f15001ed06d,68,False,[8132],0,farbe_unscharf
60f15001ed06d,58,False,[4030],100,grosse_scharf
60f15001ed06d,100,False,[4499],100,grosse_unscharf
60f161266b29a,105,False,[4876],0,grosse_unscharf
60f161266b29a,51,False,[4605],0,grosse_scharf
60f161266b29a,147,False,[7426],0,farbe_scharf
60f161266b29a,150,False,[6229],100,farbe_scharf
60f161266b29a,25,False,[5043],0,grosse_scharf
60f161266b29a,67,False,[8348],-1,farbe_unscharf
60f161266b29a,115,False,[4770],0,grosse_unscharf
60f161266b29a,35,False,[6187],100,grosse_scharf
60f161266b29a,112,False,[4729],0,grosse_unscharf
60f161266b29a,1,False,[4726],100,dap
60f161266b29a,16,False,[6204],0,dap
60f161266b29a,57,False,[4841],0,grosse_scharf
60f161266b29a,102,False,[4289],100,grosse_unscharf
60f161266b29a,99,False,[10687],100,grosse_unscharf
60f161266b29a,32,False,[5361],100,grosse_scharf
60f161266b29a,4,False,[4115],100,dap
60f161266b29a,21,False,[5731],100,dap
60f161266b29a,15,False,[4144],0,dap
60f161266b29a,89,False,[17056],100,farbe_unscharf
60f161266b29a,20,False,[3602],0,dap
60f161266b29a,19,False,[9536],0,dap
60f161266b29a,38,False,[6188],0,grosse_scharf
60f161266b29a,48,False,[7366],0,grosse_scharf
60f161266b29a,17,False,[16175],57,dap
60f161266b29a,128,False,[6478],100,grosse_unscharf
60f161266b29a,9,False,[3406],0,dap
60f161266b29a,160,False,[8258],100,farbe_scharf
60f161266b29a,70,False,[6419],0,farbe_unscharf
60f161266b29a,14,False,[4086],100,dap
60f161266b29a,118,False,[3906],100,grosse_unscharf
60f161266b29a,137,False,[5979],-1,farbe_scharf
60f161266b29a,8,False,[7932],0,dap
60f161266b29a,131,False,[5170],100,grosse_unscharf
60f161266b29a,134,False,[15628],0,farbe_scharf
60f161266b29a,86,False,[9675],100,farbe_unscharf
60f161266b29a,22,False,[4797],0,dap
60f161266b29a,2,False,[6395],100,dap
60f161266b29a,64,False,[11099],100,farbe_unscharf
60f161266b29a,73,False,[10928],-1,farbe_unscharf
60f161266b29a,166,False,[12635],0,farbe_scharf
60f161266b29a,23,False,[6651],0,dap
60f161266b29a,24,False,[4265],100,dap
60f161266b29a,5,False,[4739],100,dap
60f161266b29a,6,False,[3564],0,dap
60f161266b29a,144,False,[15169],100,farbe_scharf
60f161266b29a,10,False,[3578],100,dap
60f161266b29a,11,False,[6741],100,dap
60f161266b29a,83,False,[13149],55,farbe_unscharf
60f161266b29a,12,False,[3529],0,dap
60f161266b29a,121,False,[5867],100,grosse_unscharf
60f161266b29a,54,False,[5614],100,grosse_scharf
60f161266b29a,80,False,[10112],100,farbe_unscharf
60f161266b29a,153,False,[5043],0,farbe_scharf
60f161266b29a,96,False,[8685],-1,farbe_unscharf
60f161266b29a,7,False,[4048],100,dap
60f161266b29a,41,False,[11687],0,grosse_scharf
60f161266b29a,163,False,[9885],0,farbe_scharf
60f161266b29a,18,False,[6068],0,dap
60f161266b29a,13,False,[3270],100,dap
60f161266b29a,3,False,[4515],0,dap
60f1785ec1dd7,38,False,[7254],20,grosse_scharf
60f1785ec1dd7,1,False,[8180],58,dap
60f1785ec1dd7,73,False,[8370],57,farbe_unscharf
60f1785ec1dd7,150,False,[7987],63,farbe_scharf
60f1785ec1dd7,166,False,[5868],38,farbe_scharf
60f1785ec1dd7,54,False,[7074],63,grosse_scharf
60f1785ec1dd7,17,False,[7548],100,dap
60f1785ec1dd7,14,False,[5234],38,dap
60f1785ec1dd7,67,False,[7596],65,farbe_unscharf
60f1785ec1dd7,8,False,"[6946, 12042]",49,dap
60f1785ec1dd7,134,False,[7369],100,farbe_scharf
60f1785ec1dd7,115,False,[5936],100,grosse_unscharf
60f1785ec1dd7,121,False,[4042],79,grosse_unscharf
60f1785ec1dd7,21,False,[4841],0,dap
60f1785ec1dd7,22,False,[4535],0,dap
60f1785ec1dd7,51,False,[3930],100,grosse_scharf
60f1785ec1dd7,57,False,[4265],0,grosse_scharf
60f1785ec1dd7,102,False,[5643],0,grosse_unscharf
60f1785ec1dd7,118,False,[4603],100,grosse_unscharf
60f1785ec1dd7,41,False,[3873],0,grosse_scharf
60f1785ec1dd7,70,False,[4026],0,farbe_unscharf
60f1785ec1dd7,24,False,[12346],100,dap
60f1785ec1dd7,163,False,[5052],100,farbe_scharf
60f1785ec1dd7,96,False,[6087],0,farbe_unscharf
60f1785ec1dd7,9,False,[4491],100,dap
60f1785ec1dd7,131,False,[3572],0,grosse_unscharf
60f1785ec1dd7,19,False,[4595],100,dap
60f1785ec1dd7,15,False,[4474],0,dap
