list,trials,item,condition,,,D,C,F,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,noun,sentence_1,sentence_2,context
3,1,1,brcf,br,cf,NA,BR-AB,BR-AB,NA,NA,NA,NA,NA,NA,blue,blue,orange,orange,blue,orange,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen blauen Aufkleber?,Welche Frage passt besser?
1,2,1,brdc,br,dc,BR-A,BR-AB,NA,10,9,1,1,9,1,blue,orange,blue,blue,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,3,1,brdf,br,df,BR-A,NA,BR-AB,10,9,1,1,9,1,NA,NA,NA,NA,NA,NA,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
3,4,1,ercf,er,cf,NA,R-AB,NR-AB,NA,NA,NA,NA,NA,NA,blue,orange,orange,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen blauen Aufkleber?,Welche Frage passt besser?
1,5,1,erdc,er,dc,R-A,NR-AB,NA,10,1,2,3,2,3,blue,blue,blue,blue,blue,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,6,1,erdf,er,df,R-A,NA,NR-AB,10,1,2,3,2,3,NA,NA,NA,NA,NA,NA,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
3,7,1,zrcf,zr,cf,NA,NR-AB,R-AB,NA,NA,NA,NA,NA,NA,blue,blue,blue,blue,blue,orange,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen blauen Aufkleber?,Welche Frage passt besser?
1,8,1,zrdc,zr,dc,NR-A,R-AB,NA,9,9,9,10,9,1,blue,orange,orange,orange,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
2,9,1,zrdf,zr,df,NR-A,NA,R-AB,9,9,9,10,9,1,NA,NA,NA,NA,NA,NA,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,1,10,brcf,br,cf,NA,BR-BA,BR-AB,NA,NA,NA,NA,NA,NA,orange,orange,blue,blue,orange,blue,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,Brauchst du den orangen dreieckigen Aufkleber?,Brauchst du den dreieckigen orangen Aufkleber?,Welche Frage passt besser?
