list;trials;item;condition;;;D;C;F;size_A;size_B;size_C;size_D;size_E;size_F;color_A;color_B;color_C;color_D;color_E;color_F;form_A;form_B;form_C;form_D;form_E;form_F;noun;sentence_1;sentence_2;context;sharpness
6;1;1;brcf;br;cf;NA;BR-AB;BR-AB;NA;NA;NA;NA;NA;NA;blue;blue;orange;orange;blue;orange;triangle;diamond;triangle;triangle;diamond;diamond;Aufkleber;Brauchst du den blauen dreieckigen Aufkleber?;Brauchst du den dreieckigen blauen Aufkleber?;Wie fragst Du?;blurred
4;2;1;brdc;br;dc;BR-A;BR-AB;NA;9;10;4;6;9;1;blue;orange;blue;blue;orange;orange;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;3;1;brdf;br;df;BR-A;NA;BR-AB;9;10;4;6;9;1;NA;NA;NA;NA;NA;NA;triangle;diamond;triangle;triangle;diamond;diamond;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
6;4;1;ercf;er;cf;NA;R-AB;NR-AB;NA;NA;NA;NA;NA;NA;blue;orange;orange;orange;orange;orange;triangle;triangle;triangle;triangle;triangle;diamond;Aufkleber;Brauchst du den blauen dreieckigen Aufkleber?;Brauchst du den dreieckigen blauen Aufkleber?;Wie fragst Du?;blurred
4;5;1;erdc;er;dc;R-A;NR-AB;NA;9;6;5;1;1;4;blue;blue;blue;blue;blue;orange;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;6;1;erdf;er;df;R-A;NA;NR-AB;9;6;5;1;1;4;NA;NA;NA;NA;NA;NA;triangle;triangle;triangle;triangle;triangle;diamond;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
6;7;1;zrcf;zr;cf;NA;NR-AB;R-AB;NA;NA;NA;NA;NA;NA;blue;blue;blue;blue;blue;orange;triangle;diamond;diamond;diamond;diamond;diamond;Aufkleber;Brauchst du den blauen dreieckigen Aufkleber?;Brauchst du den dreieckigen blauen Aufkleber?;Wie fragst Du?;blurred
4;8;1;zrdc;zr;dc;NR-A;R-AB;NA;9;10;9;9;10;6;blue;orange;orange;orange;orange;orange;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen blauen Aufkleber?;Brauchst du den blauen großen Aufkleber?;Wie fragst Du?;blurred
5;9;1;zrdf;zr;df;NR-A;NA;R-AB;9;10;9;9;10;6;NA;NA;NA;NA;NA;NA;triangle;diamond;diamond;diamond;diamond;diamond;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
4;1;10;brcf;br;cf;NA;BR-BA;BR-AB;NA;NA;NA;NA;NA;NA;orange;orange;blue;blue;orange;blue;triangle;diamond;triangle;triangle;diamond;diamond;Aufkleber;Brauchst du den orangen dreieckigen Aufkleber?;Brauchst du den dreieckigen orangen Aufkleber?;Wie fragst Du?;blurred
5;2;10;brdc;br;dc;BR-B;BR-BA;NA;9;10;1;1;9;5;orange;blue;orange;orange;blue;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen orangen Aufkleber?;Brauchst du den orangen großen Aufkleber?;Wie fragst Du?;blurred
6;3;10;brdf;br;df;BR-B;NA;BR-AB;9;10;1;1;9;5;NA;NA;NA;NA;NA;NA;triangle;diamond;triangle;triangle;diamond;diamond;Aufkleber;Brauchst du den großen dreieckigen Aufkleber?;Brauchst du den dreieckigen großen Aufkleber?;Wie fragst Du?;blurred
4;4;10;ercf;er;cf;NA;R-BA;NR-AB;NA;NA;NA;NA;NA;NA;orange;blue;blue;blue;blue;blue;triangle;triangle;triangle;triangle;triangle;diamond;Aufkleber;Brauchst du den orangen dreieckigen Aufkleber?;Brauchst du den dreieckigen orangen Aufkleber?;Wie fragst Du?;blurred
5;5;10;erdc;er;dc;R-B;NR-BA;NA;10;6;5;5;1;6;orange;orange;orange;orange;orange;blue;NA;NA;NA;NA;NA;NA;Aufkleber;Brauchst du den großen orangen Aufkleber?;Brauchst du den orangen großen Aufkleber?;Wie fragst Du?;blurred
